,activity_id,assists,date,game_N,k_d,map_hash,map_name,map_path,pclass,play_time,player,score,standing,team,kills,deaths,rezzes,rezzed,orbs_gen,orbs_gath,long_life,avg_life,max_k_spree,best_weap,avg_k_dist,first_blood,never_say_die,from_the_brink,back_in_action,wrecking_ball,ace,close_call,annil,ar_kills,ar_hshots,hc_kills,hc_hshots,pr_kills,pr_hshots,scout_kills,scout_hshots,sniper_kills,sniper_hshots,shotg_kills,shotg_hshots,fr_kills,side_kills,rocket_kills,hmg_kills,melees,grenades,supers
10,5187635260,0.0,2016-07-02T04:57:18Z,1,0.2,3101475152,Firebase Delphi,/img/theme/destiny/bgs/pgcrs/crucible_firebase_delphi.jpg,Warlock,250.0,RadarORiley1980,0,Defeat,Alpha,1.0,5.0,0.0,0.0,0.0,0.0,27.0,41.1666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1.0,0.0
11,5187635260,0.0,2016-07-02T04:57:18Z,1,0.2,3101475152,Firebase Delphi,/img/theme/destiny/bgs/pgcrs/crucible_firebase_delphi.jpg,Titan,250.0,m_eberts86,0,Defeat,Alpha,1.0,5.0,0.0,0.0,0.0,0.0,29.0,41.1666666667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0
12,5187710298,2.0,2016-07-02T05:23:04Z,2,0.75,3101475152,Firebase Delphi,/img/theme/destiny/bgs/pgcrs/crucible_firebase_delphi.jpg,Titan,380.0,JohnOfMars,5,Victory,Alpha,3.0,4.0,0.0,0.0,2.0,2.0,39.0,75.0,2.0,10.0,12.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,1.0
13,5187710298,5.0,2016-07-02T05:23:04Z,2,3.0,3101475152,Firebase Delphi,/img/theme/destiny/bgs/pgcrs/crucible_firebase_delphi.jpg,Hunter,380.0,igordennis,5,Victory,Alpha,9.0,3.0,0.0,0.0,2.0,2.0,33.0,93.75,5.0,4.0,13.3333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3.0
14,5187710298,2.0,2016-07-02T05:23:04Z,2,3.0,3101475152,Firebase Delphi,/img/theme/destiny/bgs/pgcrs/crucible_firebase_delphi.jpg,Warlock,380.0,XpLiCiTOnE,5,Victory,Alpha,6.0,2.0,0.0,0.0,3.0,3.0,36.0,125.666666667,4.0,8.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,2.0
15,5187710298,0.0,2016-07-02T05:23:04Z,2,0.6,3101475152,Firebase Delphi,/img/theme/destiny/bgs/pgcrs/crucible_firebase_delphi.jpg,Hunter,380.0,Maibatsuishi,2,Defeat,Bravo,3.0,5.0,2.0,0.0,0.0,0.0,33.0,62.8333333333,2.0,5.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
16,5187710298,0.0,2016-07-02T05:23:04Z,2,0.666666666667,3101475152,Firebase Delphi,/img/theme/destiny/bgs/pgcrs/crucible_firebase_delphi.jpg,Warlock,380.0,Kwang68,2,Defeat,Bravo,4.0,6.0,0.0,1.0,0.0,0.0,29.0,53.8571428571,3.0,5.0,10.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0
17,5187710298,1.0,2016-07-02T05:23:04Z,2,0.285714285714,3101475152,Firebase Delphi,/img/theme/destiny/bgs/pgcrs/crucible_firebase_delphi.jpg,Warlock,380.0,Slowevo13,2,Defeat,Bravo,2.0,7.0,0.0,1.0,0.0,0.0,35.0,47.375,1.0,5.0,14.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
18,5187514849,5.0,2016-07-02T04:09:24Z,3,1.5,3101475152,Firebase Delphi,/img/theme/destiny/bgs/pgcrs/crucible_firebase_delphi.jpg,Titan,599.0,ComandanteStEvE,5,Victory,Alpha,9.0,6.0,2.0,2.0,1.0,0.0,72.0,85.4285714286,2.0,4.0,12.2222222222,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,1.0,0.0,1.0
19,5187514849,4.0,2016-07-02T04:09:24Z,3,2.5,3101475152,Firebase Delphi,/img/theme/destiny/bgs/pgcrs/crucible_firebase_delphi.jpg,Titan,599.0,texasranger27,5,Victory,Alpha,10.0,4.0,4.0,1.0,1.0,0.0,64.0,119.2,7.0,7.0,14.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0,5.0,2.0,1.0
20,5187514849,4.0,2016-07-02T04:09:24Z,3,1.0,3101475152,Firebase Delphi,/img/theme/destiny/bgs/pgcrs/crucible_firebase_delphi.jpg,Titan,599.0,El_mamalon52,5,Victory,Alpha,7.0,7.0,1.0,4.0,0.0,0.0,64.0,74.5,2.0,4.0,13.2857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0
21,5187514849,5.0,2016-07-02T04:09:24Z,3,0.3,3101475152,Firebase Delphi,/img/theme/destiny/bgs/pgcrs/crucible_firebase_delphi.jpg,Titan,599.0,JohnOfMars,3,Defeat,Bravo,3.0,10.0,1.0,5.0,0.0,0.0,45.0,54.0,1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
22,5187514849,1.0,2016-07-02T04:09:24Z,3,0.833333333333,3101475152,Firebase Delphi,/img/theme/destiny/bgs/pgcrs/crucible_firebase_delphi.jpg,Hunter,599.0,XpLiCiTOnE,3,Defeat,Bravo,5.0,6.0,7.0,0.0,0.0,0.0,70.0,85.1428571429,2.0,2.0,7.8,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0
23,5187514849,4.0,2016-07-02T04:09:24Z,3,0.9,3101475152,Firebase Delphi,/img/theme/destiny/bgs/pgcrs/crucible_firebase_delphi.jpg,Hunter,599.0,igordennis,3,Defeat,Bravo,9.0,10.0,2.0,5.0,0.0,0.0,47.0,54.0,2.0,4.0,22.4444444444,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,2.0,0.0
24,5187483457,1.0,2016-07-02T04:03:26Z,4,8.0,3101475152,Firebase Delphi,/img/theme/destiny/bgs/pgcrs/crucible_firebase_delphi.jpg,Titan,315.0,JohnOfMars,4,Victory,Bravo,8.0,0.0,1.0,0.0,3.0,0.0,27.0,310.0,8.0,5.0,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,0,0.0,0,0.0,0.0,2.0
25,5187483457,0.0,2016-07-02T04:03:26Z,4,2.0,3101475152,Firebase Delphi,/img/theme/destiny/bgs/pgcrs/crucible_firebase_delphi.jpg,Hunter,315.0,XpLiCiTOnE,4,Victory,Bravo,2.0,0.0,1.0,0.0,0.0,2.0,27.0,312.0,2.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
