Unnamed: 0,activity_id,assists,date,game_N,k_d,map_hash,map_name,map_path,pclass,play_time,player,score,standing,team,kills,deaths,rezzes,rezzed,orbs_gen,orbs_gath,long_life,avg_life,max_k_spree,best_weap,avg_k_dist,first_blood,never_say_die,from_the_brink,back_in_action,wrecking_ball,ace,close_call,annil,ar_kills,ar_hshots,hc_kills,hc_hshots,pr_kills,pr_hshots,scout_kills,scout_hshots,sniper_kills,sniper_hshots,shotg_kills,shotg_hshots,fr_kills,side_kills,rocket_kills,hmg_kills,melees,grenades,supers,alleg,n_primary,n_special,n_heavy,n_abil,n_supers,points
0,5100794481.0,1.0,2016-06-12T00:13:06Z,0.0,2.5,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Titan,372.0,JohnOfMars,4.0,Victory,Alpha,5.0,2.0,0.0,1.0,2.0,0.0,53.0,122.333333333,5.0,3.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,us,1.0,1.0,0.0,2.0,1.0,345.0
1,5100794481.0,1.0,2016-06-12T00:13:06Z,0.0,8.0,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,372.0,igordennis,4.0,Victory,Alpha,8.0,1.0,0.0,0.0,1.0,1.0,41.0,183.5,7.0,1.0,26.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,us,3.0,3.0,0.0,0.0,2.0,733.0
2,5100794481.0,2.0,2016-06-12T00:13:06Z,0.0,1.5,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Warlock,372.0,XpLiCiTOnE,4.0,Victory,Alpha,3.0,2.0,1.0,0.0,0.0,0.0,62.0,123.0,2.0,2.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,us,3.0,0.0,0.0,0.0,0.0,191.0
3,5100794481.0,0.0,2016-06-12T00:13:06Z,0.0,0.2,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,372.0,Drekst0pher,1.0,Defeat,Bravo,1.0,5.0,1.0,0.0,0.0,0.0,31.0,61.5,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,them,0.0,0.0,0.0,1.0,0.0,-375.0
4,5100794481.0,1.0,2016-06-12T00:13:06Z,0.0,0.0,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,372.0,NuKE_MaNz,1.0,Defeat,Bravo,0.0,6.0,0.0,1.0,0.0,0.0,54.0,52.7142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,them,0.0,0.0,0.0,0.0,0.0,-555.0
5,5100794481.0,1.0,2016-06-12T00:13:06Z,0.0,0.8,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,372.0,bbuck1990,1.0,Defeat,Bravo,4.0,5.0,0.0,0.0,0.0,0.0,63.0,61.8333333333,2.0,8.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,them,0.0,4.0,0.0,0.0,0.0,-67.0
6,5100843302.0,3.0,2016-06-12T00:20:02Z,1.0,0.666666666667,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,734.0,hpal09,5.0,Victory,Bravo,6.0,9.0,0.0,4.0,1.0,0.0,78.0,73.1,2.0,1.0,20.5,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,them,2.0,2.0,0.0,1.0,1.0,-153.0
7,5100843302.0,1.0,2016-06-12T00:20:02Z,1.0,1.14285714286,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,734.0,leonel2214,5.0,Victory,Bravo,8.0,7.0,3.0,2.0,0.0,1.0,72.0,91.125,2.0,4.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,them,7.0,0.0,0.0,0.0,1.0,232.0
8,5100843302.0,0.0,2016-06-12T00:20:02Z,1.0,2.4,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Hunter,734.0,adanmichel,5.0,Victory,Bravo,12.0,5.0,3.0,0.0,0.0,0.0,62.0,120.0,5.0,4.0,16.5833333333,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,them,5.0,2.0,1.0,3.0,1.0,775.0
9,5100843302.0,3.0,2016-06-12T00:20:02Z,1.0,0.666666666667,4260139097.0,Pantheon,/img/theme/destiny/bgs/pgcrs/crucible_pantheon.jpg,Titan,734.0,JohnOfMars,4.0,Defeat,Alpha,8.0,12.0,0.0,5.0,0.0,0.0,60.0,56.2307692308,3.0,3.0,16.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,us,3.0,2.0,0.0,3.0,0.0,-241.0
